kode pengungsian,name,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM1,Istiqlal Mosque,"Jl. Taman Wijaya Kusuma, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.17017,106.83139,1000
JPM2,Al-I'tisham Mosque,"Jl. H. Abdul Jalil No.9, RT.10/RW.9, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.2048214,106.8187024,1000
JPM3,"Al Ma'mur Jami Mosque, Kebon Kacang","Jl. K.H. Mas Mansyur No.6, RT.14/RW.7, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.189247,106.815138,1000
JPM4,Al-Makmur Mosque,"Jl. Kepu Dalam II No.02 2, RT.6/RW.2, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1642666,106.8427961,1000
JPM5,Masjid Jami'e Darussalam,"No, Jl. Kotabumi Ujung No.23, RT.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1991016,106.8195564,1000
JPM6,Al Istiqomah Mosque,"Jl. K.H. Mas Mansyur No.57 5, RT.5/RW.9, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.196299,106.814465,1000
JPM7,Lautze Mosque,"Jl. Lautze No.87 89, RT.10/RW.3, Karang Anyar, Sawah Besar, Central Jakarta City, Jakarta 10740",-6.1588926,106.8297858,1000
JPM8,Masjid Assyafi'iyyah,"Utara I Jl. Pos No.5, RT.4/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1661476,106.8323348,1000
JPM9,Masjid Baitul Huda,"Jalon Kb. Kacang XXXI No.31, Kb. Kacang, Kota PusatTanahabang,, RT.6/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1931542,106.8204238,1000
JPM10,Fatahillah Mosque,"RR67+PJ2, Kampung Bali, Tanah Abang, Central Jakarta City, Jakarta 10250",-6.1882272,106.8140137,1000
JPM11,Al Amanah Mosque,"Jl. Lap. Banteng Timur No.2 - 4, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1678576,106.8373596,1000
JPM12,Said Na'um Jami Mosque,"Jl. Kb. Kacang 9 No.25 14, RT.14/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1911963,106.8180785,1000
JPM13,Masjid At Taqwa,"Jl. K.H. Mas Mansyur No.100 7, RT.6/RW.17, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1976707,106.8141849,1000
JPM14,Al-Barokah Mosque,"Jalan Kh. Mas Mansyur No.25A, Kebon Kacang, Tanah Abang, RW.10, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1921689,106.8151271,1000
JPM15,Masjid Ar-Rahmah,"Jl. Kb. Kacang 6 No.62 14, RT.2/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.190749,106.8176688,1000
JPM16,Masjid Al Ihsan,"Jl. Taman Kb. Sirih III No.8, RT.10/RW.10, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.1843468,106.8211298,1000
JPM17,Masjid AL MUJAHIDIN,"Jalan Kramat Sentiong,Kemayoran., RT.13/RW.1, Johar Baru, RT.13/RW.1, Johar Baru, Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",-6.1830835,106.851992,1000
JPM18,Masjid Al Arqam,"Jl. Dr. Sutomo No.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1656277,106.837501,1000
JPM19,Al Amin Mosque,"Jl. Kb. Kacang 1 No.107 12, RT.12/RW.2, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1881347,106.8205793,1000
JPM20,Al-Hidaayah Jami' Mosque Rusun Tanah Tinggi,"Rusun Tanah Tinggi, 10540, RT.1/RW.014, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",-6.1767837,106.8495013,1000
JPM21,Masjid Nurul Huda,"Jl. Kb. Kacang 48 No.8 3, RT.3/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1932819,106.8160947,1000
JPM22,Jami Al-Mabrur Mosque,"1, Jl. Kramat Pulo Gundul No.7, RT.1/RW.6, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",-6.1814082,106.8481162,1000
JPM23,Jami' Asy-Syaakiriin Mosque,"Jl. Kebon Melati 1 No.5, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1943908,106.8154922,1000
JPM24,Masjid Al Fawaz,"Jl. Bungur Besar Raya No.3, RT.4/RW.1, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",-6.1623266,106.8400783,1000
JPM25,Masjid Al Abror Gedung Pos Ibukota,"RRJM+WHW, Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710",-6.1676373,106.8339409,1000
